"Name","Description","Count"
"Hyperbola","",198
,,,,,,,,,,,,,
"Tool","Interpretation","GPR Line","Position(ft)","X(ft)","Y(ft)","Depth(ft)","Time(ns)","Elevation(ft)","Amplitude(mV)","Velocity(ft/ns)","GPS-n/a","GPS-n/a","GPS-n/a","GPS-n/a","GPS-n/a","Comment"
"Point","Hyperbola","0315_01B-Grid #0001\XLine A",0.412,0.412,0.000,0.318,1.83,N/A,-5.440,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine A",0.951,0.951,0.000,0.355,2.04,N/A,-9.903,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine A",1.346,1.346,0.000,0.724,4.24,N/A,4.122,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine A",1.412,1.412,0.000,0.214,1.24,N/A,3.688,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine A",1.951,1.951,0.000,0.336,1.93,N/A,-5.448,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine A",2.478,2.478,0.000,0.228,1.32,N/A,17.042,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine A",2.984,2.984,0.000,0.285,1.64,N/A,17.623,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine A",3.522,3.522,0.000,0.304,1.75,N/A,9.221,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\XLine B",0.454,0.454,0.333,0.335,1.93,N/A,-8.667,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine B",0.952,0.952,0.333,0.351,2.02,N/A,-11.072,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine B",1.450,1.450,0.333,0.351,2.02,N/A,-11.815,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine B",1.947,1.947,0.333,0.351,2.02,N/A,-10.387,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine B",2.484,2.484,0.333,0.249,1.44,N/A,15.165,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine B",2.982,2.982,0.333,0.303,1.74,N/A,19.855,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine B",3.519,3.519,0.333,0.303,1.74,N/A,7.439,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\XLine C",0.454,0.454,0.667,0.335,1.93,N/A,-6.357,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine C",0.952,0.952,0.667,0.335,1.93,N/A,-6.149,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine C",1.450,1.450,0.667,0.335,1.93,N/A,-7.620,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine C",1.987,1.987,0.667,0.372,2.14,N/A,-5.264,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine C",2.514,2.514,0.667,0.282,1.62,N/A,26.212,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine C",3.051,3.051,0.667,0.303,1.74,N/A,9.912,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine C",3.519,3.519,0.667,0.319,1.84,N/A,10.727,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\XLine D",0.484,0.484,1.000,0.351,2.02,N/A,-10.305,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine D",0.982,0.982,1.000,0.351,2.02,N/A,-10.347,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine D",1.479,1.479,1.000,0.372,2.14,N/A,-4.209,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine D",1.987,1.987,1.000,0.351,2.02,N/A,-7.782,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine D",2.514,2.514,1.000,0.282,1.62,N/A,23.302,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine D",3.022,3.022,1.000,0.319,1.84,N/A,16.771,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine D",3.549,3.549,1.000,0.319,1.84,N/A,6.388,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\XLine E",0.454,0.454,1.333,0.335,1.93,N/A,-11.614,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine E",0.982,0.982,1.333,0.372,2.14,N/A,-8.135,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine E",1.479,1.479,1.333,0.388,2.23,N/A,4.440,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine E",1.987,1.987,1.333,0.372,2.14,N/A,-5.414,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine E",2.514,2.514,1.333,0.303,1.74,N/A,21.305,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine E",3.022,3.022,1.333,0.319,1.84,N/A,12.667,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine E",3.549,3.549,1.333,0.335,1.93,N/A,8.133,0.328,N/A,N/A,N/A,N/A,N/A,""
,,,,,,,,,,,,,
"Point","Hyperbola","0315_01B-Grid #0001\XLine F",0.454,0.454,1.667,0.335,1.93,N/A,-9.221,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine F",0.982,0.982,1.667,0.351,2.02,N/A,-12.732,0.328,N/A,N/A,N/A,N/A,N/A,""
"Point","Hyperbola","0315_01B-Grid #0001\XLine F",1.519,1.519,1.667,0.335,1.93,N/A,-7.184,0.328,N/A,N/A,N/A,N/A,N/A,""
